title,year,rating,views,genre,duration,director
The Shawshank Redemption,1994,9.3/10,2.7M,Drama,2h 22m,Frank Darabont
Schindler's List,1993,9.0/10,1.4M,Biography,3h 15m,Steven Spielberg
The Godfather,1972,9.2/10,1.8M,Crime,2h 55m,Francis Ford Coppola
The Dark Knight,2008,9.0/10,2.6M,Action,2h 32m,Christopher Nolan
The Godfather Part II,1974,9.0/10,1.3M,Crime,3h 22m,Francis Ford Coppola
Pulp Fiction,1994,8.9/10,2M,Crime,2h 34m,Quentin Tarantino
The Lord of the Rings: The Return of the King,2003,9.0/10,1.8M,Action,3h 21m,Peter Jackson
12 Angry Men,1957,9.0/10,788K,Crime,1h 36m,Sidney Lumet
Star Wars: Episode V - The Empire Strikes Back,1980,8.7/10,1.3M,Action,2h 4m,Irvin Kershner
"The Good, the Bad and the Ugly",1966,8.8/10,760K,Adventure,2h 58m,Sergio Leone
The Lord of the Rings: The Fellowship of the Ring,2001,8.8/10,1.9M,Action,2h 58m,Peter Jackson
Forrest Gump,1994,8.8/10,2.1M,Drama,2h 22m,Robert Zemeckis
Fight Club,1999,8.8/10,2.1M,Drama,2h 19m,David Fincher
Inception,2010,8.8/10,2.3M,Action,2h 28m,Christopher Nolan
The Matrix,1999,8.7/10,1.9M,Action,2h 16m,Lana Wachowski
The Lord of the Rings: The Two Towers,2002,8.8/10,1.7M,Action,2h 59m,Peter Jackson
The Help,2011,8.1/10,460K,Drama,2h 26m,Tate Taylor
Gandhi,1982,8.1/10,233K,Biography,3h 11m,Richard Attenborough
Aladdin,1992,8.0/10,420K,Animation,1h 30m,Ron Clements
The Sound of Music,1965,8.1/10,235K,Biography,2h 52m,Robert Wise
Dersu Uzala,1975,8.2/10,30K,Adventure,2h 22m,Akira Kurosawa
Life of Brian,1979,8.0/10,401K,Comedy,1h 34m,Terry Jones
The Iron Giant,1999,8.1/10,199K,Animation,1h 26m,Brad Bird
It Happened One Night,1934,8.1/10,105K,Comedy,1h 45m,Frank Capra
Everything Everywhere All at Once,2022,8.1/10,247K,Action,2h 19m,Dan Kwan
Persona,1966,8.1/10,120K,Drama,1h 23m,Ingmar Bergman
The 400 Blows,1959,8.1/10,119K,Crime,1h 39m,François Truffaut
The Handmaiden,2016,8.1/10,148K,Drama,2h 25m,Park Chan-wook
Cool Hand Luke,1967,8.1/10,178K,Crime,2h 7m,Stuart Rosenberg
Amores Perros,2000,8.1/10,241K,Drama,2h 34m,Alejandro G. Iñárritu
Rebecca,1940,8.1/10,138K,Drama,2h 10m,Alfred Hitchcock
My Father and My Son,2005,8.2/10,87K,Drama,1h 52m,Çagan Irmak
La haine,1995,8.1/10,175K,Crime,1h 38m,Mathieu Kassovitz
The Grapes of Wrath,1940,8.1/10,94K,Drama,2h 9m,John Ford
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1/10,1.1M,Action,2h 23m,Gore Verbinski
Jai Bhim,2021,8.9/10,202K,Crime,2h 44m,T.J. Gnanavel
To Be or Not to Be,1942,8.2/10,38K,Comedy,1h 39m,Ernst Lubitsch
Hachi: A Dog's Tale,2009,8.1/10,286K,Biography,1h 33m,Lasse Hallström
The Battle of Algiers,1966,8.1/10,61K,Drama,2h 1m,Gillo Pontecorvo
The Incredibles,2004,8.0/10,737K,Animation,1h 55m,Brad Bird
Groundhog Day,1993,8.1/10,631K,Comedy,1h 41m,Harold Ramis
The Exorcist,1973,8.1/10,409K,Horror,2h 2m,William Friedkin
Before Sunset,2004,8.1/10,265K,Drama,1h 20m,Richard Linklater
The Best Years of Our Lives,1946,8.1/10,65K,Drama,2h 50m,William Wyler
The Wizard of Oz,1939,8.1/10,401K,Adventure,1h 42m,Victor Fleming
Into the Wild,2007,8.1/10,624K,Adventure,2h 28m,Sean Penn
Pather Panchali,1955,8.3/10,33K,Drama,2h 5m,Satyajit Ray
Rush,2013,8.1/10,480K,Action,2h 3m,Ron Howard
Ratatouille,2007,8.1/10,735K,Animation,1h 51m,Brad Bird
Logan,2017,8.1/10,762K,Action,2h 17m,James Mangold
Network,1976,8.1/10,160K,Drama,2h 1m,Sidney Lumet
The Terminator,1984,8.1/10,864K,Action,1h 47m,James Cameron
Stand by Me,1986,8.1/10,405K,Adventure,1h 29m,Rob Reiner
Platoon,1986,8.1/10,415K,Drama,2h,Oliver Stone
Spotlight,2015,8.1/10,470K,Biography,2h 9m,Tom McCarthy
Hotel Rwanda,2004,8.1/10,356K,Biography,2h 1m,Terry George
Rocky,1976,8.1/10,576K,Drama,2h,John G. Avildsen
Tokyo Story,1953,8.2/10,62K,Drama,2h 16m,Yasujirô Ozu
